DOMAIN_ID	CATH_C	CATH_A	CATH_T	CATH_H	DOMAIN_LENGTH
1e2rA02	2	140	10	20	432
3s6lD00	2	150	10	10	158
3srtA00	2	160	10	10	183
1ogoX02	2	160	20	10	367
1i6vA02	2	170	120	12	122
3cslA01	2	170	130	10	128
5fqdB01	2	170	150	20	132
3winD00	2	170	15	20	167
1g9gA02	2	170	160	10	136
1am2A00	2	170	16	10	181
8bveA02	2	170	190	11	82
2qm4A01	2	170	210	10	139
2x1lB02	2	170	220	10	76
1li1C00	2	170	240	10	224
1r6zA03	2	170	260	10	126
5ex0A01	2	170	270	10	139
1c8dA00	2	170	30	10	548
1g9mG00	2	170	40	20	305
1j3bA02	2	170	8	10	77
3hrzB01	2	20	130	20	76
4k7rA02	2	20	200	10	77
1zlhB02	2	20	20	10	36
4qzvB02	2	20	210	30	68
1qf8B02	2	20	25	20	56
4tpuA02	2	20	28	10	37
2e45A01	2	20	70	10	23
2ig6A00	2	30	110	10	139
1fm2B03	2	30	120	10	66
5fqdE02	2	30	130	40	111
2b2cA01	2	30	140	10	64
2a6hC04	2	30	150	10	65
5mmiY00	2	30	170	40	77
5jm6A02	2	30	250	10	143
1jqvA02	2	30	26	10	44
2vhjA02	2	30	270	20	62
2zkgC00	2	30	280	10	183
2ej8B00	2	30	29	30	131
4q5wA02	2	30	30	140	85
4bg7A00	2	30	31	10	98
1p3hB00	2	30	33	40	98
1k8kA02	2	30	36	70	30
2d1sA01	2	30	38	10	88
9paiA02	2	30	39	10	120
2bb0A01	2	30	40	10	115
1p1eA00	2	30	42	10	101
3ezmA00	2	30	60	10	101
3va7A04	2	40	100	10	159
6nirC02	2	40	10	10	110
4kcfA02	2	40	110	10	111
3ia8A00	2	40	128	20	156
4a17J00	2	40	150	20	138
5ukgA01	2	40	155	10	246
2x27X00	2	40	160	20	209
4epaA00	2	40	170	20	617
3e4wA02	2	40	180	10	207
1i71A00	2	40	20	10	83
2sliA03	2	40	220	10	100
5iznA00	2	40	240	10	91
1e50B00	2	40	250	10	130
3rbjB00	2	40	260	10	188
2pmzB06	2	40	270	10	223
3gqnA03	2	40	300	10	124
1ep3B01	2	40	30	10	99
3c0tA00	2	40	320	10	201
1na6A01	2	40	330	10	171
1e0tA03	2	40	33	10	99
6ethA04	2	40	340	10	89
2yxxA01	2	40	37	10	140
4jmdA00	2	40	400	10	257
1q16A13	2	40	40	20	150
3oocA01	2	40	420	20	76
6xj6A01	2	40	440	10	156
4wz8B02	2	40	460	10	66
4cq7A00	2	40	480	10	173
1fouA02	2	40	500	10	132
3ne5B03	2	40	50	100	70
2obsA01	2	40	510	10	200
5yq8A00	2	40	70	10	130
2yzyA00	2	50	20	10	163
2ahnA00	2	60	110	10	222
2y69F00	2	60	11	10	93
1fod100	2	60	120	20	210
1tmxB00	2	60	130	10	287
1fs0E01	2	60	15	10	88
1sva400	2	60	175	10	331
3po8A00	2	60	200	20	98
1prrA02	2	60	20	10	85
4gwmB03	2	60	210	10	164
1hn0A04	2	60	220	10	122
1gmuA02	2	60	260	20	71
1gwyA00	2	60	270	20	175
1maeL00	2	60	30	10	124
5tkyA04	2	60	34	10	116
1xf1A05	2	60	40	10	97
3a3jA02	2	60	410	10	92
1h54A03	2	60	420	10	74
2qtsA02	2	60	470	10	178
3i5dA02	2	60	490	10	274
1zruC01	2	60	520	10	130
2pplA02	2	60	60	20	110
2qlkA00	2	60	90	10	183
1rerA01	2	60	98	10	126
1a39A00	2	70	100	10	401
2n1hA00	2	70	130	10	94
1wpeA01	2	70	150	10	175
4c4aA04	2	70	160	11	161
6dw1D00	2	70	170	10	208
1i7dA03	2	70	20	10	141
1lkfA00	2	70	240	10	292
2we2A01	2	70	40	10	147
1kshB00	2	70	50	40	141
3tufB00	2	70	70	10	158
1ulvA01	2	70	98	10	272
5tipA01	2	70	9	10	188
3rmxA02	2	80	10	50	184
3mezD00	2	90	10	10	112
5fclE01	3	100	10	20	90
1byfA00	3	10	100	10	123
2nooA02	3	10	105	10	226
6mihA02	3	10	10	10	85
2nvuC01	3	10	110	10	155
4b8nB00	3	10	120	10	90
2c2iA00	3	10	129	10	147
2vq8A00	3	10	130	10	128
6dlyA03	3	10	150	10	125
2vqxA01	3	10	170	10	155
3l20A00	3	10	180	10	148
1dmxA00	3	10	200	10	237
1vwxS01	3	10	20	10	71
6k0oA00	3	10	250	10	104
2bw0A02	3	10	25	10	102
3d2oA00	3	10	270	10	244
7qssA01	3	10	28	10	188
1vioA01	3	10	290	10	58
3devA02	3	10	310	30	115
1fv1B01	3	10	320	10	92
1cz4A02	3	10	330	10	81
4b8vA03	3	10	350	10	49
1i2dA02	3	10	400	10	188
3g4nA01	3	10	40	10	89
5a5gA03	3	10	410	10	90
1qynD00	3	10	420	10	136
7oodf01	3	10	430	100	76
1vq8X00	3	10	440	10	82
1mgrA00	3	10	450	30	97
4nzcA02	3	10	50	10	97
2o34A00	3	10	520	10	241
7xffF01	3	10	560	10	87
6n7eD01	3	10	580	10	168
5dnoA00	3	10	590	10	165
3tw6C02	3	10	600	10	84
5b66B02	3	10	680	10	173
2zgiD02	3	20	10	10	146
5kbpA01	3	20	110	10	278
1fuiA03	3	20	14	10	251
1at3A00	3	20	16	10	217
4mb7A01	3	20	190	10	126
2b3yA05	3	20	19	10	235
3lkmA02	3	20	200	10	90
2nqlA02	3	20	20	120	220
5a0zD00	3	20	70	20	710
6wl5A01	3	20	80	10	149
1e7uA04	3	30	1010	10	158
5ykjA02	3	30	1020	10	62
3bkrA00	3	30	1050	10	119
1ff3A00	3	30	1060	10	210
1cseI00	3	30	10	10	63
4z9eA00	3	30	110	20	85
3otxA02	3	30	1110	10	63
5dmsA02	3	30	1120	30	97
5f3mA00	3	30	1130	10	118
2xzmC02	3	30	1140	32	136
2iuoA02	3	30	1160	10	68
3jamV00	3	30	1230	20	87
2hf2B02	3	30	1240	10	105
1ufvA02	3	30	1300	10	98
5aj3P00	3	30	1320	10	117
7du3B01	3	30	1330	10	137
5t17A00	3	30	1340	10	85
1h5wB03	3	30	1350	20	45
2gagA02	3	30	1360	120	392
3v69B00	3	30	1370	10	112
2osoA00	3	30	1380	20	152
6ppfZ00	3	30	1390	20	58
1jg5A00	3	30	1410	10	83
5z3gF02	3	30	1430	10	121
5x8tF00	3	30	1440	10	175
3c7vB01	3	30	1450	10	74
4gf3A00	3	30	1460	10	123
4xk8d00	3	30	1470	10	140
3glkA03	3	30	1490	20	59
4jerA00	3	30	1500	10	181
3do6A02	3	30	1510	10	113
4akvB01	3	30	1520	10	118
2yimA02	3	30	1540	10	89
3cjsC00	3	30	1550	10	68
4bn4A02	3	30	1600	10	108
1zu1A02	3	30	160	60	56
6u0m601	3	30	1640	10	101
6yttA03	3	30	1650	10	160
4b2jA00	3	30	1660	10	63
3al9A02	3	30	1680	10	54
3p3gA02	3	30	1700	10	172
3qy2A00	3	30	170	10	105
1uw0A01	3	30	1740	10	96
1wxcB01	3	30	1880	10	62
3b8oA01	3	30	1890	10	213
4qg3A01	3	30	190	20	121
7xfdA01	3	30	1950	10	77
3kn6A01	3	30	200	20	65
3b7sA02	3	30	2010	30	97
5b66O02	3	30	2050	10	36
2wvxA02	3	30	2080	10	159
3w9iA04	3	30	2090	10	96
2cjlA02	3	30	20	10	61
3c5gB04	3	30	210	10	65
5i2cA01	3	30	2130	10	140
2vfbA01	3	30	2140	10	172
5hpsA01	3	30	2160	10	74
2qh9A00	3	30	2170	10	172
1mg7A02	3	30	230	10	157
3kiuy00	3	30	2310	20	94
1ohgA02	3	30	2320	10	106
1r3eA01	3	30	2350	10	221
4lcdA03	3	30	2410	10	117
4ppfA02	3	30	250	10	61
6qb8Q02	3	30	260	10	105
4z42A00	3	30	280	10	99
3af5A02	3	30	300	20	71
3d2fA02	3	30	30	30	76
1tbpA01	3	30	310	10	94
5omvA01	3	30	342	10	151
4gqaB02	3	30	360	10	239
5g5gC03	3	30	365	10	93
2cx6A00	3	30	370	10	88
7wdtA02	3	30	379	10	131
1dwnA00	3	30	380	10	127
2hg0A03	3	30	387	10	85
1bqgA01	3	30	390	10	138
5m88A01	3	30	40	10	55
4udqA02	3	30	410	40	180
3b0nA03	3	30	413	10	125
4iljA01	3	30	420	230	161
3n1sJ00	3	30	428	10	119
4lkbE00	3	30	429	10	118
4o95A01	3	30	43	10	91
5c0uA00	3	30	450	410	208
6sj5A01	3	30	460	10	108
1ffvC03	3	30	465	10	114
1r74B01	3	30	46	10	73
2pn1A03	3	30	470	20	118
3d7jA00	3	30	479	10	132
3stoA01	3	30	497	10	221
3snpA02	3	30	499	10	242
1lqvB00	3	30	500	10	173
1uurA04	3	30	505	10	132
2m9wA00	3	30	50	10	63
5e4bA00	3	30	530	20	176
2q74A01	3	30	540	10	129
6aefA01	3	30	559	30	252
2q2eB01	3	30	565	10	221
7dpiB01	3	30	56	10	68
1bo7A00	3	30	572	10	316
1crkA02	3	30	590	10	279
1vwxI02	3	30	60	300	40
2xi1B00	3	30	62	10	100
1z8fA02	3	30	63	10	63
1ok8A02	3	30	67	10	84
1t92A01	3	30	700	10	99
7uwrA02	3	30	70	3290	76
4b9kE00	3	30	710	10	86
4gywA04	3	30	720	150	114
3dvhA00	3	30	740	10	85
4l8kA01	3	30	750	44	87
1ap8A00	3	30	760	10	213
6ospA01	3	30	800	10	164
1bo1A02	3	30	810	10	159
8b6jb01	3	30	830	10	205
6zxfP01	3	30	860	10	120
7clgA01	3	30	870	10	190
1ub1A00	3	30	890	10	125
4trkA00	3	30	900	10	242
1ew4A00	3	30	920	10	106
2cjaA02	3	30	930	10	315
2qbuA02	3	30	950	10	96
1tkeA02	3	30	980	10	102
3dmeA02	3	30	9	10	153
6xrbA01	3	40	1000	10	139
6mjgA01	3	40	1010	10	121
1khdD02	3	40	1030	10	223
3vqjA00	3	40	1050	10	214
2ahuA01	3	40	1080	10	269
3gb5A00	3	40	109	10	185
7nnlB01	3	40	1110	10	116
1vq8M00	3	40	1120	10	194
2e9yB00	3	40	1160	10	312
3osnA02	3	40	1170	60	62
2d2rA00	3	40	1180	10	215
3w4sA00	3	40	1190	20	273
6gyzA03	3	40	120	10	84
1l5xA00	3	40	1210	10	270
3pnxA00	3	40	1260	10	150
3n4jA00	3	40	1280	10	161
2hw0A00	3	40	1310	20	115
3h0gE01	3	40	1340	10	134
4qbnA00	3	40	1350	10	93
2au3A03	3	40	1360	10	124
4v19F00	3	40	1370	10	250
3oeeP02	3	40	1380	10	179
7d27A01	3	40	1390	10	91
2ppwA00	3	40	1400	10	203
3zzmA02	3	40	140	20	121
3bwgA02	3	40	1410	10	156
3gitB03	3	40	1470	10	145
2x9jA00	3	40	1500	20	212
1wpuA00	3	40	1510	10	147
3hzhB00	3	40	1550	10	149
1u9tA01	3	40	1570	10	158
3g5oA01	3	40	1620	10	42
2ob5A00	3	40	1650	10	145
3b0zB00	3	40	1690	10	84
6gyyA00	3	40	1700	10	150
5f28B00	3	40	1810	10	73
4fajA01	3	40	190	10	166
7whgG02	3	40	20	10	92
4zi6C01	3	40	220	10	169
3m4rA01	3	40	225	10	195
1ti2A03	3	40	228	10	292
1hzmA00	3	40	250	10	154
1fuiA02	3	40	275	10	165
2ve5C02	3	40	309	10	193
2imfA00	3	40	30	10	203
3u3lC00	3	40	33	10	229
4b28A01	3	40	350	10	199
6u5uG02	3	40	366	10	308
1hkgA03	3	40	367	20	270
1i1iP02	3	40	390	10	151
4ekfA00	3	40	395	10	191
2k6hA01	3	40	420	10	169
3kgyA00	3	40	430	10	210
1p9bA01	3	40	440	10	162
1khbA01	3	40	449	10	223
2bvfA03	3	40	462	20	210
2l3fA00	3	40	470	10	161
4efiA00	3	40	47	10	349
5b46A01	3	40	50	970	190
3b7nA02	3	40	525	10	228
2lenA00	3	40	532	10	231
4b56B03	3	40	570	10	311
1vw4G00	3	40	5	10	55
1azoA00	3	40	600	10	212
1ez0B01	3	40	605	10	312
1yk3B00	3	40	630	30	193
2hoxA02	3	40	640	10	210
1w5dA01	3	40	710	10	244
1a05A00	3	40	718	10	357
1p49A01	3	40	720	10	381
4g3hC00	3	40	800	10	310
3hmbB00	3	40	80	10	156
3bczA00	3	40	830	10	285
2owmA00	3	40	850	10	328
1rozB00	3	40	910	10	321
4cgxA00	3	40	91	90	160
5exeB01	3	40	920	10	204
2a0jA00	3	40	930	10	146
2g2cA00	3	40	980	10	150
1hq6B00	3	50	20	10	228
4e5sA02	3	50	30	60	165
3l4gB02	3	50	40	10	207
1gmnB01	3	50	4	10	29
3dmeA01	3	50	50	60	213
6ms8C01	3	50	70	10	157
7ylvg01	3	50	7	10	148
4nbiB00	3	50	80	10	151
1p7gH02	3	55	40	20	122
6rwk001	3	55	50	30	73
2j63A00	3	60	10	10	333
8p4iG01	3	60	110	10	312
1i7qA00	3	60	120	10	517
3pvjB00	3	60	130	10	276
1sq1A00	3	60	150	10	281
3bv6A00	3	60	15	10	353
1te5A00	3	60	20	10	253
2yvtA00	3	60	21	10	256
2i0oA00	3	60	40	10	287
5u81A01	3	60	60	10	259
1b65A00	3	60	70	12	363
1i72A00	3	60	90	10	251
1aorA01	3	60	9	10	211
4n3pB01	3	65	10	10	209
1dmlA00	3	70	10	10	267
1vkpB00	3	75	10	10	356
3rgzA01	3	80	10	10	684
2hr7B01	3	80	20	20	236
3g0mA00	3	90	1010	10	138
1vw4L01	3	90	1030	10	135
1hqmD05	3	90	105	10	75
4aybB05	3	90	1070	20	88
1os6A00	3	90	10	10	71
1ddqC02	3	90	1100	10	341
6duxB02	3	90	110	10	256
2a6hC03	3	90	1110	10	180
4h7wA00	3	90	1140	10	187
6liuC02	3	90	1150	10	116
6jbzA00	3	90	1170	40	141
1vx7K01	3	90	1180	10	148
2q83A02	3	90	1200	10	226
4fsxA03	3	90	120	10	172
3g8rA02	3	90	1210	10	80
1d0cA03	3	90	1230	10	89
1e1hA00	3	90	1240	10	235
1vl2D02	3	90	1260	10	218
1vr9A01	3	90	1280	20	63
4do3A00	3	90	1300	10	543
5kshB01	3	90	1310	10	101
2h21B01	3	90	1410	10	255
3smtA02	3	90	1420	10	161
1n0uA03	3	90	1430	10	107
4u99B00	3	90	1520	10	186
1y1fX00	3	90	1580	10	271
4fvmA05	3	90	1600	10	171
5yh1A01	3	90	1640	30	282
1adeA03	3	90	170	10	166
4hz9A00	3	90	1720	10	118
2pggA01	3	90	1730	10	343
2ilxA00	3	90	1740	10	219
1f0lA01	3	90	175	10	187
1k90A02	3	90	1760	10	159
6k93A00	3	90	176	10	239
6ruiB08	3	90	1800	10	142
3pi7A01	3	90	180	10	193
3gxhA00	3	90	190	10	151
3foeA01	3	90	199	10	273
1ruyH02	3	90	209	20	232
1ti8B00	3	90	20	10	166
4z9cA00	3	90	210	10	223
1ficB01	3	90	215	10	160
4asiF03	3	90	226	10	394
6at4A03	3	90	228	20	251
4b28A02	3	90	230	10	238
1kicB00	3	90	245	10	314
3e48B02	3	90	25	10	100
1ex0B02	3	90	260	10	318
4v1ab01	3	90	280	10	187
3l0aA00	3	90	320	10	253
1ireA00	3	90	330	10	201
1mjtB01	3	90	340	10	129
1wqlA01	3	90	380	10	310
3sqgA01	3	90	390	10	103
1jf5A03	3	90	400	10	55
1xdyG00	3	90	420	10	261
1m7vA02	3	90	440	10	101
6cazA00	3	90	45	10	169
5oomT00	3	90	470	10	159
5y5sH02	3	90	50	10	140
3qsvC00	3	90	520	10	124
2vlqB00	3	90	540	10	134
1yp2D01	3	90	550	10	288
1hqiA00	3	90	56	10	90
1yagA04	3	90	640	10	86
3mdoA02	3	90	650	10	214
1rsgB02	3	90	660	10	299
3gyxA02	3	90	700	10	131
4bouA00	3	90	70	80	141
4dwaB00	3	90	730	10	156
1ue0A00	3	90	740	10	181
4fajA02	3	90	76	10	124
3qaeA01	3	90	770	10	260
2wdcA03	3	90	780	10	200
1nqzA00	3	90	79	10	171
5zdkA01	3	90	800	10	102
3fq3A00	3	90	80	10	174
1mqsA03	3	90	830	10	120
3lzkB00	3	90	850	10	329
3vf2A03	3	90	870	20	205
4bpuC00	3	90	920	10	367
2oy7A02	3	90	930	1	139
1qklA00	3	90	940	10	127
1u14A00	3	90	950	10	167
3memA01	3	90	960	10	136
1vwxm00	4	10	1060	50	52
1pcpA01	4	10	110	10	66
3dclA03	4	10	1180	10	39
4ersA00	4	10	1240	10	96
3eckA03	4	10	1270	10	72
2odyA00	4	10	140	10	44
3aahB00	4	10	160	10	57
3kypE01	4	10	170	10	45
7ddqb01	4	10	220	20	48
1d66A00	4	10	240	10	57
2pbiA03	4	10	260	10	54
5i50B00	4	10	280	10	96
2f5zK00	4	10	320	10	43
4wfoA03	4	10	372	10	89
2iujA02	4	10	375	10	99
1bikA00	4	10	410	10	110
4fb9A02	4	10	470	10	102
1yq9A02	4	10	480	10	85
1isuA00	4	10	490	10	62
5z62L00	4	10	49	10	47
5z62K00	4	10	51	10	49
4fmrA02	4	10	520	10	84
1lwuB02	4	10	530	10	99
1eysH01	4	10	540	10	97
2l4lA00	4	10	60	10	45
2uubR00	4	10	640	10	73
2m7fA00	4	10	70	10	71
1d4m400	4	10	80	10	61
5b1aM00	4	10	81	10	43
2vqeN00	4	10	830	10	60
1l1yA03	4	10	870	10	66
1i94M02	4	10	910	10	30
5b1aJ00	4	10	91	10	58
1v54I00	4	10	93	10	72
1jj2A03	4	10	950	10	78
5b1aG00	4	10	95	10	83
3u5eB01	4	10	960	10	91
1vq8L01	4	10	990	10	50
3fdfA02	6	10	140	550	54
3oymA04	6	10	20	110	46
6aqjA02	6	10	240	10	146
6escA05	6	10	250	3280	59
3nb0B03	6	10	260	10	84
2bx9A00	6	20	20	10	53
4ui7C00	6	20	320	10	47
4a18L02	6	20	340	10	71
1vx7a01	6	20	370	70	37
1hi8A04	6	20	410	10	56
2a74A06	6	20	50	160	64
